game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0189,4,04:40,NYK,,MIL,,P. Dadiet,NYK,Dadiet REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0189,4,00:41.300000,NYK,,MIL,,P. Dadiet,NYK,MISS Dadiet 24' 3PT Jump Shot,Missed Shot,Jump Shot,-235,11,24,1,3.0,0.0,h
S2425-G0081,4,02:09,NYK,,IND,,P. Dadiet,NYK,MISS Dadiet 2' Driving Layup,Missed Shot,Driving Layup Shot,-1,16,2,1,2.0,0.0,h
S2425-G0081,4,01:56,NYK,,IND,,P. Dadiet,NYK,Dadiet REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,4,01:47,NYK,,IND,,P. Dadiet,NYK,Dadiet Bad Pass Turnover (P1.T10),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0081,4,01:44,NYK,,IND,,P. Dadiet,NYK,Dadiet P.FOUL (P1.PN) (B.Kennedy),Foul,Personal,0,0,0,0,,,h
S2425-G0014,2,08:23,NYK,,BKN,,P. Dadiet,NYK,Dadiet REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0014,2,06:43,NYK,,BKN,,P. Dadiet,NYK,Dadiet REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0014,2,05:23,NYK,50.0,BKN,44.0,P. Dadiet,NYK,Dadiet 26' 3PT Jump Shot (3 PTS) (Brunson 2 AST),Made Shot,Jump Shot,37,258,26,1,3.0,3.0,h
S2425-G0014,2,05:03,NYK,,BKN,,P. Dadiet,NYK,Dadiet STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0014,2,04:43,NYK,,BKN,,P. Dadiet,NYK,Dadiet REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0014,2,04:04,NYK,,BKN,,P. Dadiet,NYK,Dadiet REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0014,3,00:30.800000,NYK,,BKN,,P. Dadiet,NYK,Dadiet BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0014,3,00:08.400000,NYK,99.0,BKN,80.0,P. Dadiet,NYK,Dadiet Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0014,3,00:08.400000,NYK,100.0,BKN,80.0,P. Dadiet,NYK,Dadiet Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0014,4,11:19,NYK,,BKN,,P. Dadiet,NYK,SUB: Anunoby FOR Dadiet,Substitution,,0,0,0,0,,,h
S2425-G0134,4,03:12,DET,93.0,NYK,120.0,P. Dadiet,NYK,Dadiet 18' Step Back Jump Shot (2 PTS) (Toppin 1 AST),Made Shot,Step Back Jump shot,-125,128,18,1,2.0,2.0,v
S2425-G0134,4,01:48,DET,,NYK,,P. Dadiet,NYK,Dadiet REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0061,2,07:56,BOS,,NYK,,P. Dadiet,NYK,MISS Dadiet 26' 3PT Jump Shot,Missed Shot,Jump Shot,-147,210,26,1,3.0,0.0,v
S2425-G0061,2,05:45,BOS,,NYK,,P. Dadiet,NYK,SUB: Bridges FOR Dadiet,Substitution,,0,0,0,0,,,v
S2425-G0061,4,06:37,BOS,130.0,NYK,98.0,P. Dadiet,NYK,Dadiet 24' 3PT Jump Shot (3 PTS) (McBride 2 AST),Made Shot,Jump Shot,-222,88,24,1,3.0,3.0,v
S2425-G0061,4,05:24,BOS,,NYK,,P. Dadiet,NYK,Dadiet REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0061,4,03:19,BOS,,NYK,,P. Dadiet,NYK,MISS Dadiet 13' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,109,62,13,1,2.0,0.0,v
S2425-G0061,4,00:55.700000,BOS,,NYK,,P. Dadiet,NYK,Dadiet L.B.FOUL (P1.T4) (B.Schwab),Foul,Loose Ball,0,0,0,0,,,v
