game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0127,1,11:42,LAC,2.0,POR,0.0,N. Powell,LAC,Powell 4' Cutting Layup Shot (2 PTS) (Harden 1 AST),Made Shot,Cutting Layup Shot,23,33,4,1,2.0,2.0,h
S2425-G0127,1,10:30,LAC,,POR,,N. Powell,LAC,Powell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,1,10:27,LAC,5.0,POR,0.0,N. Powell,LAC,Powell 28' 3PT Running Pull-Up Jump Shot (5 PTS),Made Shot,Running Pull-Up Jump Shot,-108,254,28,1,3.0,3.0,h
S2425-G0127,1,09:49,LAC,,POR,,N. Powell,LAC,Powell REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,1,08:52,LAC,,POR,,N. Powell,LAC,Powell REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,1,06:28,LAC,12.0,POR,6.0,N. Powell,LAC,Powell 11' Driving Floating Jump Shot (7 PTS) (Harden 4 AST),Made Shot,Driving Floating Jump Shot,-47,104,11,1,2.0,2.0,h
S2425-G0127,1,02:52,LAC,19.0,POR,15.0,N. Powell,LAC,Powell Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0127,1,02:52,LAC,20.0,POR,15.0,N. Powell,LAC,Powell Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0127,1,02:35,LAC,,POR,,N. Powell,LAC,Powell STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0127,1,02:32,LAC,,POR,,N. Powell,LAC,MISS Powell 28' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-143,239,28,1,3.0,0.0,h
S2425-G0127,1,02:03,LAC,,POR,,N. Powell,LAC,SUB: Batum FOR Powell,Substitution,,0,0,0,0,,,h
S2425-G0127,2,06:24,LAC,,POR,,N. Powell,LAC,MISS Powell 5' Driving Hook Shot,Missed Shot,Driving Hook Shot,29,41,5,1,2.0,0.0,h
S2425-G0127,2,05:40,LAC,,POR,,N. Powell,LAC,MISS Powell 27' 3PT Jump Shot,Missed Shot,Jump Shot,-228,143,27,1,3.0,0.0,h
S2425-G0127,2,04:35,LAC,,POR,,N. Powell,LAC,MISS Powell 4' Running Layup,Missed Shot,Running Layup Shot,-7,42,4,1,2.0,0.0,h
S2425-G0127,2,03:48,LAC,,POR,,N. Powell,LAC,Powell REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,2,03:40,LAC,43.0,POR,44.0,N. Powell,LAC,Powell 28' 3PT Jump Shot (12 PTS) (Harden 6 AST),Made Shot,Jump Shot,-178,212,28,1,3.0,3.0,h
S2425-G0127,2,02:27,LAC,,POR,,N. Powell,LAC,Powell P.FOUL (P1.PN) (C.Blair),Foul,Personal,0,0,0,0,,,h
S2425-G0127,2,02:09,LAC,,POR,,N. Powell,LAC,Powell Lost Ball Turnover (P1.T7),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0127,2,01:14,LAC,,POR,,N. Powell,LAC,MISS Powell 2' Driving Layup,Missed Shot,Driving Layup Shot,-5,18,2,1,2.0,0.0,h
S2425-G0127,2,01:10,LAC,,POR,,N. Powell,LAC,MISS Powell 25' 3PT Jump Shot,Missed Shot,Jump Shot,240,63,25,1,3.0,0.0,h
S2425-G0127,2,00:00,LAC,50.0,POR,54.0,N. Powell,LAC,Powell 1' Driving Floating Bank Jump Shot (14 PTS),Made Shot,Driving Floating Bank Jump Shot,7,10,1,1,2.0,2.0,h
S2425-G0127,3,10:31,LAC,55.0,POR,60.0,N. Powell,LAC,Powell 3' Driving Layup (16 PTS),Made Shot,Driving Layup Shot,25,14,3,1,2.0,2.0,h
S2425-G0127,3,08:24,LAC,,POR,,N. Powell,LAC,MISS Powell 27' 3PT Jump Shot,Missed Shot,Jump Shot,189,195,27,1,3.0,0.0,h
S2425-G0127,3,06:05,LAC,72.0,POR,70.0,N. Powell,LAC,Powell 24' 3PT Jump Shot (19 PTS) (Mann 2 AST),Made Shot,Jump Shot,-167,173,24,1,3.0,3.0,h
S2425-G0127,3,05:33,LAC,,POR,,N. Powell,LAC,MISS Powell 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,94,243,26,1,3.0,0.0,h
S2425-G0127,3,05:09,LAC,75.0,POR,73.0,N. Powell,LAC,Powell 3PT Jump Shot (22 PTS) (Harden 8 AST),Made Shot,Jump Shot,-227,-11,0,1,3.0,3.0,h
S2425-G0127,3,04:16,LAC,80.0,POR,73.0,N. Powell,LAC,Powell 26' 3PT Jump Shot (25 PTS) (Mann 3 AST),Made Shot,Jump Shot,-61,250,26,1,3.0,3.0,h
S2425-G0127,3,02:48,LAC,,POR,,N. Powell,LAC,MISS Powell 22' Pullup Jump Shot,Missed Shot,Pullup Jump shot,132,171,22,1,2.0,0.0,h
S2425-G0127,3,02:29,LAC,,POR,,N. Powell,LAC,SUB: Porter Jr. FOR Powell,Substitution,,0,0,0,0,,,h
S2425-G0127,4,07:26,LAC,94.0,POR,92.0,N. Powell,LAC,Powell 3' Driving Floating Bank Jump Shot (27 PTS),Made Shot,Driving Floating Bank Jump Shot,-25,-10,3,1,2.0,2.0,h
S2425-G0127,4,07:26,LAC,95.0,POR,92.0,N. Powell,LAC,Powell Free Throw 1 of 1 (28 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0127,4,05:59,LAC,,POR,,N. Powell,LAC,MISS Powell 10' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-27,92,10,1,2.0,0.0,h
S2425-G0127,4,01:56,LAC,105.0,POR,104.0,N. Powell,LAC,Powell 13' Pullup Jump Shot (30 PTS),Made Shot,Pullup Jump shot,56,115,13,1,2.0,2.0,h
S2425-G0127,4,00:29.600000,LAC,,POR,,N. Powell,LAC,Powell REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,4,00:29.300000,LAC,,POR,,N. Powell,LAC,MISS Powell 2' Running Layup,Missed Shot,Running Layup Shot,-9,19,2,1,2.0,0.0,h
S2425-G0131,1,10:34,LAC,,PHX,,N. Powell,LAC,MISS Powell 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-88,236,25,1,3.0,0.0,h
S2425-G0131,1,08:11,LAC,13.0,PHX,4.0,N. Powell,LAC,Powell 7' Jump Bank Shot (2 PTS) (Harden 5 AST),Made Shot,Jump Bank Shot,60,35,7,1,2.0,2.0,h
S2425-G0131,1,07:39,LAC,,PHX,,N. Powell,LAC,MISS Powell 25' 3PT Jump Shot,Missed Shot,Jump Shot,43,248,25,1,3.0,0.0,h
S2425-G0131,1,05:31,LAC,19.0,PHX,11.0,N. Powell,LAC,Powell 6' Driving Hook Shot (4 PTS) (Harden 6 AST),Made Shot,Driving Hook Shot,27,48,6,1,2.0,2.0,h
S2425-G0131,1,04:50,LAC,,PHX,,N. Powell,LAC,Powell S.FOUL (P1.T2) (R.Acosta),Foul,Shooting,0,0,0,0,,,h
S2425-G0131,1,04:50,LAC,,PHX,,N. Powell,LAC,SUB: Jones FOR Powell,Substitution,,0,0,0,0,,,h
S2425-G0131,2,08:16,LAC,46.0,PHX,36.0,N. Powell,LAC,Powell 10' Pullup Jump Shot (6 PTS) (Dunn 1 AST),Made Shot,Pullup Jump shot,26,92,10,1,2.0,2.0,h
S2425-G0131,2,06:46,LAC,,PHX,,N. Powell,LAC,Powell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0131,2,06:05,LAC,54.0,PHX,40.0,N. Powell,LAC,Powell 25' 3PT Jump Shot (9 PTS) (Harden 9 AST),Made Shot,Jump Shot,-49,245,25,1,3.0,3.0,h
S2425-G0131,2,05:15,LAC,56.0,PHX,43.0,N. Powell,LAC,Powell 13' Pullup Jump Shot (11 PTS) (Zubac 1 AST),Made Shot,Pullup Jump shot,-124,53,13,1,2.0,2.0,h
S2425-G0131,2,04:50,LAC,59.0,PHX,44.0,N. Powell,LAC,Powell 25' 3PT Jump Shot (14 PTS) (Harden 10 AST),Made Shot,Jump Shot,-45,242,25,1,3.0,3.0,h
S2425-G0131,2,04:15,LAC,,PHX,,N. Powell,LAC,MISS Powell Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0131,2,04:15,LAC,60.0,PHX,44.0,N. Powell,LAC,Powell Free Throw 2 of 2 (15 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
